trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-161.19259204495043,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-149.90100577818544,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-114.2976964735071,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-96.49659888768625,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-33.906845469144265,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-162.6218700331497,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,16,-37.11650666555907,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-113.30389069366824,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-88.73684217912128,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-136.1413791645148,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,1,-65.18137236739967,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-206.32838839501113,"{0: 20, 1: 1, 2: 9, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,2,-76.75727677171668,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-66.80745940779099,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,9.9008783423117,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,14,-29.684901113744274,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-58.43094133711861,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-57.966269774251096,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-20.721049919430758,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-71.5776758923437,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,9,-28.695608936611183,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",35,0,-175.9502945464751,"{0: 26, 1: 0, 2: 5, 3: 0, 4: 4}",0
3,True,"{'a': 0, 'e': 0}",20,5,-84.8908514116412,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
4,True,"{'a': 0, 'e': 0}",25,12,11.65125534001762,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,4,-22.256865281840074,"{0: 22, 1: 0, 2: 3, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,16,-69.84945503188887,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
7,True,"{'a': 0, 'e': 0}",20,0,-133.04743787786668,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",25,16,6.395002625333266,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-34.655088061324136,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,11,17.81946173105462,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
