trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1.0, 'e': 1.0}",20,0,-90.23184675253718,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
2,False,"{'a': 0.7937005259840997, 'e': 1.0}",25,0,-89.38011076248614,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.6933612743506348, 'e': 0.9993070929904525}",25,0,-224.54125193261518,"{0: 10, 1: 0, 2: 12, 3: 0, 4: 3}",0
4,False,"{'a': 0.6299605249474366, 'e': 0.9985362559349821}",25,0,-131.21062215813174,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5848035476425733, 'e': 0.9976921765270234}",20,0,-14.634282009601305,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.5503212081491045, 'e': 0.9967862992018413}",20,0,-121.82734182558526,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5227579585747103, 'e': 0.995827955166323}",25,0,-161.5552029242089,"{0: 18, 1: 0, 2: 2, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9948243463587154}",20,0,-77.64305019704022,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.4807498567691361, 'e': 0.9937810933225548}",20,0,-98.95991730328693,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.46415888336127786, 'e': 0.9927026738033351}",25,0,-156.13243657834096,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.4496443130226092, 'e': 0.9915927284388857}",30,0,-131.29323793657605,"{0: 21, 1: 3, 2: 2, 3: 2, 4: 2}",0
12,False,"{'a': 0.43679023236814946, 'e': 0.9904542714063034}",25,0,-161.5605984218004,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.4252903702829902, 'e': 0.989289837801548}",20,0,-175.9592612131489,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
14,False,"{'a': 0.4149132666831218, 'e': 0.9881015889777982}",30,0,-62.08499347712213,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.4054801330382267, 'e': 0.9868913894891171}",30,0,-133.24087916731258,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.39685026299204984, 'e': 0.9856608644503517}",20,0,-156.9313315827485,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.3889111187328203, 'e': 0.9844114430988418}",25,6,0.0997756504497973,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.381571414184444, 'e': 0.9831443924353646}",20,0,-50.40739580836203,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.37475617678431544, 'e': 0.9818608435974231}",20,0,-64.35813131824442,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.3684031498640387, 'e': 0.9805618128166671}",25,0,-155.84676862919716,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
