trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-48.30416853259194,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-199.11853516165178,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.74596860000894,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.73951675023838,"{0: 20, 1: 2, 2: 2, 3: 5, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.31160191719312,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.72407453109093,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.76985592930015,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-193.58394482582992,"{0: 14, 1: 8, 2: 3, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.02459092436301,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.37440097865496,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,7,-40.351510907095665,"{0: 6, 1: 4, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-206.37620605199845,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.505121864168665,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.83019067324801,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,15,-21.708130512677368,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.40617548023924,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,4,-115.17653479374125,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-192.29065208950271,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.63129232955737,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-116.64227807753413,"{0: 16, 1: 8, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-166.35543104959928,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-154.3690960683677,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-170.39637103570448,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.86783622455052,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-63.97886236224984,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.11675735296915,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,6,-89.34721980823262,"{0: 6, 1: 2, 2: 5, 3: 0, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-221.38268122018945,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-188.26703898722198,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-139.19070379743968,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
